JobTitle,company,location,salary,date_posted,ExtractDate,job_url,summary,review_url,overall_rating,num_ratings
IT intern,Tech Circles Sdn Bhd,Skudai,"RM 800 – RM 1,000 per month",7h ago,29/5/2024,https://www.jobstreet.com.my/job/76191840?type=standard&ref=search-standalone&origin=cardTitle#sol=d3bec65a328bc9bee900b92e6be984649951f735,"design and develop web and mobile (php & android) application, covering from requirement gathering, analysis ,design, implantation, unit test, deployment and maintenance of the system   create interfaces and experiences.   able to work independently.   support and improve existing application, update manuals and prepare documentations.job requirements:   student pursuing diploma/advanced/higher/graduate diploma in computer science/information technology or equivalent.   required language(s): english, mandarin, bahasa malaysia   required skill(s): technical skills in  php, mysql database, firebase",,,
Technical support Intern,Stream Environment Sdn Bhd,Kajang/Bangi/Serdang,RM 500 – RM 600 per month,8h ago,29/5/2024,https://www.jobstreet.com.my/job/76195148?type=standout&ref=search-standalone&origin=cardTitle#sol=f5617aac1ad323d8f5887850ba854fa38b5bcc6a,"job responsibilities:-to assist engineer& manager to produce for internal materials such as system guideline, training & booklet-to response to internal “request for information” raise by individual personnel from singapore & abu dhabi by providing technical support documents.-to assist palnning, coordinating, reviewing & analysing for all technical support documents before release",https://www.jobstreet.com.my/companies/stream-environment-168557507782011/reviews?jobId=76195148,4,6
Internship - Production Department,Airfoil Services Sdn Bhd,Damansara,undisclosed,8h ago,29/5/2024,https://www.jobstreet.com.my/job/76198581?type=standard&ref=search-standalone&origin=cardTitle#sol=4579ac2918d4e3971ca23693fa0941c143012e66,"job descriptionperform basic process under the guidance and supervision of an approval holdercomply with and support environmental health & safety (ehs) policies, rules, and regulations at all times.assist general mechanic or technician in daily work taskwork on basic, repetitive assignments that are routine in nature.handle tooling and equipment with care.perform any other tasks as assigned.requirementsminimum skm or diploma (preferably mechanical, manufacturing, mechatronic, aeronautical, aerospace, aircraft maintenance or any related major)good communication skills in both verbal and written englishinternship period is preferably four months or more.able to work on shiftsummary of role requirements:flexible hours availableno experience required for this roleworking rights required for this roleexpected start date for role: 01 july 2024expected salary: rm1,000 per month",https://www.jobstreet.com.my/companies/airfoil-services-168554056951058/reviews?jobId=76198581,4.1,35
IT Support - Internship,Chris Business Solution Sdn Bhd,Penang,undisclosed,9h ago,29/5/2024,https://www.jobstreet.com.my/job/76194337?type=standout&ref=search-standalone&origin=cardTitle#sol=b6e72fbb03b97476bf7e010e0d71edb9975eff98,"job scope and description:setting up, training, troubleshooting, and testing our software, providing expert advice and solutions to customer issues, and ensuring all tickets are resolved promptly and to the client's satisfaction.handle problem-solving, troubleshooting, and debugging skills who can quickly and efficiently identify and escalate issues to the appropriate level of support.seeking a customer support specialist to assist clients via phone and remote access.comprehensive training and hands-on guidance provided.opportunity to discover your talents and work alongside senior experts and young professionals. requirements:diploma/bachelor in computer science/information technology or equivalent.proficiency in bahasa malaysia, and english.able to work in raja uda, butterworth penang benefits:five-day workweek, 8:30 am to 5:30 pm.relaxing cafe area, free parking, complimentary snacks and beverages, and more.our company values passion, hard work, collaboration, purpose, and performance.career development opportunities apply now if you're passionate about the mobile app industry!",https://www.jobstreet.com.my/companies/chris-business-solution-168556490264835/reviews?jobId=76194337,4.3,15
Internship Technician Production,EITA Resources Bhd,Klang,undisclosed,9h ago,29/5/2024,https://www.jobstreet.com.my/job/76198459?type=standard&ref=search-standalone&origin=cardTitle#sol=b4e0a4b88b17c81498c5374d71e293f8c8d2c55a,"job description: menghasilkan komponen elektrik mengikut spesifikasi  tuning controller dan mesin  periksa bahagian masuk untuk pemasangan pemasangan dan pendawaian lop, cop & supervisory panel job requirements:mesti memiliki sekurang-kurangnya sijil/ diploma mechanical & electrica atau bidang berkaitan. tempoh tempoh internship 6 bulan. elaun disediakan. lokasi di bukit raja, klang, selangor. summary of role requirements:flexible hours available1 year of relevant work experience required for this roleworking rights required for this roleexpected start date for role: 01 june 2024expected salary: rm600 per month",https://www.jobstreet.com.my/companies/eita-resources-168553828917630/reviews?jobId=76198459,3.8,6
Software Engineering Intern,Roche Services & Solutions Operations APAC,Petaling,undisclosed,9h ago,29/5/2024,https://www.jobstreet.com.my/job/76198578?type=standard&ref=search-standalone&origin=cardTitle#sol=fd56a3f7e4fe96871dfbf2148866b2de00044b53,"roche fosters diversity, equity and inclusion, representing the communities we serve. when dealing with healthcare on a global scale, diversity is an essential ingredient to success. we believe that inclusion is key to understanding people’s varied healthcare needs. together, we embrace individuality and share a passion for exceptional care. join roche, where every voice matters.
the positionroche fosters diversity, equity and inclusion, representing the communities we serve. when dealing with healthcare on a global scale, diversity is an essential ingredient to success. we believe that inclusion is key to understanding people’s varied healthcare needs. together, we embrace individuality and share a passion for exceptional care. join roche, where every voice matters.
the position
we are seeking for passionate student to join us as an it intern under the software engineering team. the it intern will work closely with our informatics organization in it products that requires software engineering capabilities. this is an excellent opportunity for an individual who is interested in pursuing a career in it software engineering, as they will gain hands-on experience in a global professional environment. 
who we are looking for:

undergraduate students from reputable universities in the relevant fields of it, computer science or engineering.
passionate and energetic in information technology functions in the areas of informatics.
fast learner to practice in basic day-to-day work or projects.
good communication skills with high proficiency in english.
able to network with colleagues from other businesses, it functions and management on best work practices. 
additional experience in automation, coding or extra it certification is a plus.

what the internship offers:

learning program for interns to understand the company and different technologies being applied in the sector.
hand on experience to projects related to the hiring department.
buddy system with a peer from the hiring department to teach and guide the new intern.
access to learning platforms (udemy & coursera) and other offerings to upskill in the desire skills.
engage in networking with colleagues from other business, it functions and senior management on best work practices. 
chance to form lasting relationships and improve communications and collaboration skills.
working from home certain days per week and great facilities with free coffee & food, games, events, etc.

who we are
at roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. working together, we’ve become one of the world’s leading research-focused healthcare groups. our success is built on innovation, curiosity and diversity.
the roche services & solutions as well as people support solutions organisations located in kuala lumpur provide end-to-end business solutions for finance, procurement, it, communications, people & culture (human resources) and beyond to our roche colleagues across the apac region. today roche employs altogether around 1100 employees in malaysia.
roche is an equal opportunity employer.
who we areat roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. working together, we’ve become one of the world’s leading research-focused healthcare groups. our success is built on innovation, curiosity and diversity.
the roche services & solutions as well as people support solutions organisations located in kuala lumpur provide end-to-end business solutions for finance, procurement, it, communications, people & culture (human resources) and beyond to our roche colleagues across the apac region. today roche employs altogether around 1100 employees in malaysia. 
roche is an equal opportunity employer.",https://www.jobstreet.com.my/companies/roche-168553946317737/reviews?jobId=76198578,4.1,50
Application Support Internship,The Pacific Insurance Berhad,Kuala Lumpur Sentral,undisclosed,11h ago,29/5/2024,https://www.jobstreet.com.my/job/76190276?type=standout&ref=search-standalone&origin=cardTitle#sol=6692753fd1dc8bc65ad240ee7632c0080f8f4551,"role summaryto support core insurance platform main responsibilitiesliaise with relevant business departments to gather business requirements.deploy changes that can be done inhouseinterface and help drive application support activities by vendor or external partymanage changes to business requirements and perform impact analysisassess the feasibility of the recommended solution from a business perspective requirementsqualificationbachelor degree , preferably in it , experiencessome experience or coursework as a developer and techno-functional business analyst is preferred. functional skills & competencies· clear understanding of all modules of core system in general insurance· proven ability to develop and maintain detailed documentation of business solutions such as policies, system configuration, process flows etc· hands on knowledge on core system implementation· knowledge of re-insurance is an added advantage soft skills & competencies· critical thinking.· problem-solving.· negotiation.· attention to detail.· teamwork. it skills & competencies· working knowledge of microsoft office suite· working knowledge of insurance system – general insurance· working knowledge on new gen core insurance systems key stakeholdersinternal· it· business units external· third party integrator· vendors",https://www.jobstreet.com.my/companies/the-pacific-insurance-berhad-168554817191910/reviews?jobId=76190276,3.3,34
Internship for Information Technology - RM1500/month,Safetyware Group Berhad,Bukit Minyak,"RM 1,500 – RM 1,501 per month",14h ago,29/5/2024,https://www.jobstreet.com.my/job/76183044?type=standout&ref=search-standalone&origin=cardTitle#sol=bc78b2c52a9f46fcbe532b200a41cf202287e16e,"job description:assist in the development and maintenance of backend services and apis.collaborate with the it team to integrate backend services with 3rd party platformparticipate in the troubleshooting and debugging of backend issues, providing timely resolutionssupport the improvement of our codebase by writing clean, maintainable, and efficient code.engage in database management tasks, including schema design, data migration, and performance tuning.contribute to the development of automated scripts to improve our operational efficiency.participate in code reviews to learn best practices and maintain code quality.assist in the creation and maintenance of technical documentation.engage in continuous learning and training to stay current with industry trends and best practices. job requirement:currently pursuing or recently completed a degree in computer science, information technology, or a related field.basic knowledge of programming languages such as java, php, javascript.understanding of database technologies such as sql and data modeling principles.strong problem-solving skills and attention to detail.excellent communication and collaboration skills.eagerness to learn and take on new challenges in a fast-paced environment.minimum 3 months internship",https://www.jobstreet.com.my/companies/safetyware-group-168550740853918/reviews?jobId=76183044,4.5,10
Internship for Graphic Design/ Multimedia,Safetyware Group Berhad,Bukit Minyak,RM 850 – RM 851 per month,14h ago,29/5/2024,https://www.jobstreet.com.my/job/76182975?type=standout&ref=search-standalone&origin=cardTitle#sol=38e990b4ca588556a9e47740fbe620b74098a71a,"job description:* create initial artwork for customers or company use.* ensure correct artwork in work orders.* organize and update design files.* other ad-hoc tasks assigned by superior.job requirement:* candidate must possess at least bachelor's degree/post-graduate diploma/professional degree multimedia courses.* familiarity with design software and technologies especially photoshop* required language(s): english, bahasa malaysia.* knowledge in mandarin is an added advantage.* no working experience is required.* minimum 3 months internship.",https://www.jobstreet.com.my/companies/safetyware-group-168550740853918/reviews?jobId=76182975,4.5,10
Internship - IT,AIMS Data Centre Sdn Bhd,Kuala Lumpur,"RM 1,000 per month",14h ago,29/5/2024,https://www.jobstreet.com.my/job/76182302?type=standout&ref=search-standalone&origin=cardTitle#sol=7464dc1269d08983e22c3c539ea202b21a914fac,"at aims, you’ll have the opportunity to familiarize yourself with our operations & actively contribute to projects associated with specific functions. work life:manage user account, licenses, and permissions in accordance with company policies.manage the company’s it asset and ensuring that assets are tracked throughout its lifecycle.keep proper records of all tickets and their resolution in the ticketing tool based on the tickets received from the users and provide the solutions to users.participate and be involved in the execution of steps to address security incidents, where necessaryassisting to complete the sop documentation for the teamcollaborate with other it teams to troubleshoot and resolve technical issues.write and maintain documentation for procedures, processes, and configurations.will act as soc to provide tier 1 or 2 for end userssupport end users on the daily activityensure internal users have their it issues resolved. requirements: diploma or degree in computer science, it, security or similar fieldpassion for acquiring new technologiesknowledge of the principles, procedure, and troubleshooting method of securitybasic understanding of computer software, hardware, and operating systems (windows & macos)preferably 6 months internship period",https://www.jobstreet.com.my/companies/aims-data-centre-168554916074248/reviews?jobId=76182302,4.7,9
