JobTitle,company,location,salary,date_posted,ExtractDate,job_url,summary,review_url,overall_rating,num_ratings
Internship for IT / Computer Science Student,I Concept Solutions (M) Sdn. Bhd.,UEP Subang Jaya,RM 600 – RM 800 per month,1d ago,19/5/2024,https://www.jobstreet.com.my/job/75961827?type=standout&ref=search-standalone&origin=cardTitle#sol=bc7e6779f4e010cd9d929b2deb8d5afb6fda770c,job descriptionwe seeking talented programmer student join internship programme youll opportunity work realworld project learn experienced developer build skill programming language php html mysql youll also get collaborate team developer contribute development innovative website solutionsjob requirementscurrently enrolled degree programme itcomputer science related fieldat least month internship duration preferredbasic programming skill php html mysqlpassion technology software developmentwillingness learn take new challengesstrong problemsolving analytical skillsgood communication teamwork abilitieswillingness work location one city subang,,,
IT Network & Support Internship,EBIZNESS SOFTWARE SDN. BHD.,Bandar Sri Damansara,undisclosed,1d ago,19/5/2024,https://www.jobstreet.com.my/job/75959955?type=standout&ref=search-standalone&origin=cardTitle#sol=130826c44389a0da24e617a61e33923070f80b0e,job descriptionsinstalling configuring troubleshooting managing window server pc hardware o networking cloud remote desktopvpn setting etcperforming routine backup understands importance backupassist software application system support well follow reply email according sla service level agreementwilling learn training handson guidance providedcareer growth opportunity requirementsinternship candidate networking technical support hardwaresoftware equivalent welcome minimum month internship period training handson guidance provideddiploma fresh graduate information technology networking computer science equivalent encouraged apply wellunderstands networking server computer setup installation window server o dns email tcpip etcpassion knowledge area cloud vpn desktop computing vm server webbased system etcgood communication able work teambasic conversation mandarin cantonese bonus able based bandar sri damansara mrt station within min walk,,,
Internship - Production,Technip Energies,Iskandar Puteri,undisclosed,1d ago,19/5/2024,https://www.jobstreet.com.my/job/75962255?type=standard&ref=search-standalone&origin=cardTitle#sol=8fe30e2408fe8b29471bdefcaaa407141debfb28,assembles test paint surface component following standard specification completes required test documentation including test report failed test report nonconformance report ncr us material handling equipment move part component subassemblies one work storage area another required understand follow safety requirement procedure,,,
Internship - Machining 1,Technip Energies,Johor Bahru,undisclosed,1d ago,19/5/2024,https://www.jobstreet.com.my/job/75962329?type=standard&ref=search-standalone&origin=cardTitle#sol=6634aa06190bac9f429c3de44208c801366963af,performs necessary mechanical repair maintenance equipment facility support delivery material equipment supply meet project need equips deploys inventoried tool trailer use operation team assist warehouse inventory control tracking system ensure stockroom duty counting categorizing part ensure general housekeeping duty trash removal floor sweeping snow removal,,,
Internship (June 2024-December 2024),Press Metal Aluminium Holdings Berhad,Shah Alam/Subang,"RM 1,000 – RM 1,200 per month",2d ago,19/5/2024,https://www.jobstreet.com.my/job/75948549?type=standout&ref=search-standalone&origin=cardTitle#sol=2e6c0119240dae0eb92bd3ea564e93e574478e61,hi therewe currently looking passionate energetic intern keen join u mnc operation country one world leading public listed company press metal play key role meeting world aluminum supply economically environmentally socially responsible wayswould like become part world fast growing companyput academic knowledge test nowwho needthe role ofsustainabilityinternal auditinformation technologyrisk managementsales adminwhat get attractive allowanceregional global stakeholder exposureattractive benefit gym free parkingwork life balanceas press metal intern alsogain handson experience working alongside team expert fieldlearn crucial soft skill communication critical thinking teamwork project management time management multitasking etc well technical skillsexperience flat organization culture transparent open equal mean walk anyone office guidance advice share idea toowhat make successfulpossess diploma degree either relevantactive involvement extra cocurricular activity universityproficient writing communicating englisha great team player excellent interpersonal communication skillsinternship month minimum would added advantagehow applyplease apply updated resume stating academic achievement extracurricular activity indicating internship start end date incomplete application entertained shortlisted candidate notified,https://www.jobstreet.com.my/companies/press-metal-168554256865716/reviews?jobId=75948549,3.8,94.0
Internship - Workplace (for Computer/IT Students),CTC Global Sdn Bhd,Petaling Jaya,undisclosed,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75948300?type=standout&ref=search-standalone&origin=cardTitle#sol=f361c673c2f3f3826b8d28ceeb9e8f37bf7a9187,important please indicate internship period start end date internship minimum month internship period exposed areasrole responsibilitiesinstallation troubleshoot configure pc notebook printer scanner hardware componentsinstallation troubleshoot configure microsoft window operating system microsoft application desktop notebookinstallation troubleshoot mcafee antivirus software patch hotfixes m applicationsdata analysiscreation new pc image support ca deployment mcafee agent requirementscandidate must posse currently pursuing diploma bachelor degree computer science information technology equivalentpreferred skill window operating system microsoft desktop applicationspassionate fastlearner good communication interpersonal skillsapplicant must willing accept internship scopeapplicant must willing travel within klang valley best possessing transportinternship period must minimum month,https://www.jobstreet.com.my/companies/ctc-global-168556940778711/reviews?jobId=75948300,3.4,77.0
Internship - Business Consultant,Hitachi eBworx Sdn. Bhd.,Petaling Jaya,undisclosed,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75945829?type=standout&ref=search-standalone&origin=cardTitle#sol=798bde0d2a4854b889228d7e116febc27fae4abf,responsibility assist documenting user requirement develop test script user guide training material assist functional testing ensure system conformance requirement work closely team ensure functional requirement developed application requirement degree business managementengineeringcomputer scienceinformation technology equivalent preferred student minimum cgpa minimal programming background advantage excellent written oral communication skill english proficiency national language added advantage detail oriented passion learn committed selfimprovement adaptable able work independently well team,https://www.jobstreet.com.my/companies/hitachi-ebworx-168554357820170/reviews?jobId=75945829,3.3,62.0
Project Coordinator - Internship 6months,CENTIFIC GLOBAL SOLUTIONS (M) SDN. BHD.,Bandar Dato'Onn,undisclosed,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75944854?type=standard&ref=search-standalone&origin=cardTitle#sol=85fdddfba3d951bd538bbc80aaee904db1030568,project coordinator intern responsible assisting lowlevel task required project manager temporary employee work set amount time usually learning experience project coordinator intern perform work variety role evaluator annotator quality specialist whatever needed meet project need entrylevel position duty responsibility employment temporary lead permanent employment using employment learning opportunity usually recently graduated still attending collegeuniversity assist whatever lowlevel task required pm follows guidance pc project work responds ambiguitieschangesupdates pc timely manner meet exceed daily weekly monthly kpis pertaining specific process flow assigned project additional duty required requirement basic familiarity microsoft office including outlook excel powerpoint general knowledge online communication willingness work overtime necessary office work environment employment tied specific project ability follow direction perform timebound task accurately efficiently ability perform repetitive task without degradation quality detailoriented problemsolving mindset organized focused enough work independently role player within team environment centific centific global digital technology service company solution across various industry led peoplefirst intelligencedriven approach centific enables experience help brand thrive sustainable meaningful way working create longterm value loyal customer client future clarity vision technological expertise operational excellence centific partner choice want run smarter want change race diverse team people work deliver promise technology humancentricity every day ready start solving today industryspecific challenge tomorrow cognitive technology let talk authentic self centific centific equalopportunity employer qualified applicant receive consideration employment without regard race color religion national origin ancestry citizenship status age mental physical disability medical condition gender including pregnancy gender identity expression sexual orientation marital status familial status veteran status characteristic protected applicable law consider qualified applicant regardless criminal history consistent legal requirement,,,
Software Engineer (Internship),Optimai (Malaysia) Sdn Bhd,Kuala Lumpur,undisclosed,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75932599?type=standout&ref=search-standalone&origin=cardTitle#sol=00ba3eb50fad9c89e187edbc4145522ff582e638,looking software engineering intern passionate finance investment join u drive become leading fintech company asiabusiness intelligence data analyticsbackend developmentsoftware testing automationgenerative ai machine learningweb mobile frontend developmentdevops cicd cyber securitysystem server adminyou enjoy working closeknit team friendly colleague create innovative stateoftheart financial system front office trading middle back office system stockbroker fund management company bank exchangesthrough rapid enterprise application platform reap help transform way enterprise system built future technicalbusiness intelligence data analytics tableau power bi devexpress sql etcbackend development database design sql programming performance optimization microsoft sql server rest apis wcf python etcsoftware testing automation blackwhite box testing automated testing sql apisgenerative ai machine learning chatgpt embeddings vector database classification association time series prediction using ml technique etcweb mobile frontend development net core mvc javascript nextjs react rest apis etcdevops cicd experience cicd tool jenkins gitlab ci azure devops containerization orchestration tool docker kubernetes cloud service aws azure gcp serverless architecturescyber security proficiency security audit tool intrusion detection system knowledge secure coding practice ethical hacking firewall management familiarity compliance framework iso nist gdprsystem server admin ad sccm backup restore security hyperv azure awsbusinessfinancial industry capital market wealth management bankinginvestment data warehouse portfolio analytics stock trading margin financing portfolio financing security borrowing lending contract difference leveraged fx loan syndicated loan crypto asset private equity factoring supply chain financing,,,
Internship - Auto Selection Kuala Lumpur,Sime Darby Motors,Petaling Jaya,undisclosed,2d ago,19/5/2024,https://www.jobstreet.com.my/job/75929452?type=standard&ref=search-standalone&origin=cardTitle#sol=a837b4be917c87443ff73502905e5769cfe483e1,internship placement intakeinternship administrationability practice filing record keepingmethods technique word processingknowledge business letter writing basic report preparationadvantagesyou real experience practice field office administrationhave chance work u finishing internship graduationrequirementscandidate must posse least diplomaadvancedhighergraduatediploma administration equivalentminimum month internship periodno work experience requiredcandidate must posse transporta monthly allowance provided,https://www.jobstreet.com.my/companies/sime-darby-motor-group-168490909591702/reviews?jobId=75929452,4.3,30.0
